id,name,latitude,longitude,population
400029,CICS - WASHINGTON PARK,41.783617,-87.622068,458
610112,PARKER,41.77078,-87.634086,357
610219,WASHINGTON G ES,41.688131,-87.536015,615
400120,ACERO - CLEMENTE,41.917952,-87.78783,464
610539,CAMRAS,41.934931,-87.770127,720
609849,CASSELL,41.687347,-87.703215,352
400165,LEARN - MIDDLE,41.887413,-87.702704,187
610109,OWEN,41.74285,-87.705749,275
609972,HAUGAN,41.964029,-87.723128,980
610257,MORTON,41.889178,-87.705108,208
400130,YCCS - YOUTH DEVELOPMENT,41.751377,-87.641731,79
400061,PERSPECTIVES - LEADERSHIP HS,41.745961,-87.652045,834
609827,BURNSIDE,41.728481,-87.607435,286
400011,LOCKE A,41.877248,-87.705235,371
610276,MOLLISON,41.814358,-87.616618,235
400026,CICS - LOOMIS,41.720246,-87.657561,351
609806,BRADWELL,41.754365,-87.557142,412
610355,COURTENAY,41.962308,-87.663853,299
610100,WEST PARK,41.906907,-87.732443,423
610120,PECK,41.787899,-87.719216,752
609753,CHICAGO AGRICULTURE HS,41.691221,-87.71777,767
610362,EVERS,41.715665,-87.639305,203
609976,HAYT,41.994541,-87.668504,843
400101,ACERO - CISNEROS,41.822884,-87.693996,354
609725,MORGAN PARK HS,41.692035,-87.665658,1162
609867,COOPER,41.856031,-87.667227,408
609909,EVERETT,41.831555,-87.68131,99
609718,KENNEDY HS,41.789961,-87.78084,1589
609792,BATEMAN,41.95822,-87.702151,897
609993,LARA,41.80977,-87.672182,331
609908,ESMOND,41.68942,-87.669159,255
609839,CARROLL,41.742517,-87.696012,405
610518,AUSTIN CCA HS,41.885993,-87.761916,168
400146,KIPP - ACADEMY,41.891816,-87.746614,669
609710,HARLAN HS,41.718372,-87.620623,201
610212,ALBANY PARK,41.971504,-87.710609,226
610131,PLAMONDON,41.860259,-87.692526,84
610357,SPRY HS,41.847762,-87.698946,62
400028,CICS - PRAIRIE,41.684433,-87.616888,419
610165,SCHUBERT,41.930403,-87.76119,552
400118,NOBLE - DRW HS,41.869328,-87.711654,364
400068,PLATO,41.87276,-87.763337,183
610295,HIGGINS,41.681031,-87.646994,276
610103,OKEEFFE,41.768602,-87.572806,495
609924,FORT DEARBORN,41.729673,-87.655481,308
609676,DUNBAR HS,41.840226,-87.617637,370
609981,HEARST,41.808175,-87.745726,302
610177,SKINNER,41.879103,-87.659419,1048
610143,REAVIS,41.804174,-87.604925,268
610167,SEWARD,41.810333,-87.668772,413
610155,SAUGANASH,41.991169,-87.745951,663
610147,ROGERS,42.015265,-87.697185,718
609939,GILLESPIE,41.725332,-87.623719,343
400058,NLCP - CHRISTIANA HS,41.858564,-87.708987,315
400170,NOBLE - ACADEMY HS,41.906879,-87.645577,521
400172,ASPIRA - BUSINESS & FINANCE HS,41.935726,-87.718204,497
610047,MADISON,41.759548,-87.590712,210
610216,WALSH,41.854836,-87.648086,246
400049,LEGACY,41.856859,-87.730348,454
610529,OGDEN HS,41.893548,-87.659405,509
609829,BURROUGHS,41.828868,-87.692457,307
610590,BRONZEVILLE CLASSICAL,41.819249,-87.626621,423
400156,NOBLE - BUTLER HS,41.706667,-87.602573,636
610048,MANIERRE,41.908247,-87.639827,280
610396,TARKINGTON,41.764407,-87.706445,851
400032,CICS - ELLISON HS,41.748382,-87.66898,220
609788,BARNARD,41.705131,-87.658074,245
610542,WEST RIDGE,42.002959,-87.705917,618
610559,SHIELDS MIDDLE,41.806491,-87.68978,372
609720,LANE TECH HS,41.946645,-87.691013,4519
400144,YCCS - WEST,41.90224,-87.74881,61
400159,CHRISTOPHER HOUSE,41.922181,-87.757522,426
609873,CROWN,41.852663,-87.71247,107
610342,SABIN,41.906816,-87.68305,349
400169,NOBLE - ITW SPEER HS,41.92563,-87.769808,1091
610073,MITCHELL,41.892082,-87.683185,385
610172,SHERMAN,41.799766,-87.650221,203
400121,ACERO - DE LA CRUZ,42.016476,-87.684406,501
609907,ERICSON,41.875744,-87.715804,315
609723,MARSHALL HS,41.878444,-87.70805,168
610274,JOHNSON,41.861836,-87.703139,207
610098,NOBEL,41.906155,-87.729955,597
609983,HEDGES,41.807112,-87.673327,475
400091,CHICAGO TECH HS,41.863301,-87.659095,392
610569,OMBUDSMAN - NORTHWEST HS,42.017171,-87.806682,229
400053,NOBLE - GOLDER HS,41.895282,-87.664483,647
610385,MULTICULTURAL ARTS HS,41.835282,-87.735283,252
609715,KELLY HS,41.818729,-87.694639,1694
610287,ASHBURN,41.742351,-87.70961,328
609729,SCHURZ HS,41.946365,-87.735612,1199
609800,BENNETT,41.710435,-87.61739,265
610039,VON LINNE,41.940009,-87.702635,674
400013,ASPIRA - EARLY COLLEGE HS,41.937298,-87.727096,257
609964,HAMLINE,41.807242,-87.661175,571
610197,TALCOTT,41.892405,-87.673723,467
609779,ARMSTRONG G,42.01015,-87.684442,1248
609862,COLES,41.741413,-87.56597,251
610513,AIR FORCE HS,41.828145,-87.632757,119
609856,CLAY,41.654558,-87.544614,586
610005,HUGHES C,41.860518,-87.731777,154
610389,ORR HS,41.894449,-87.726166,210
609949,GRAY,41.948764,-87.757116,993
610548,STEM,41.868576,-87.664969,403
609897,EARLE,41.781225,-87.675547,266
400116,MONTESSORI ENGLEWOOD,41.774572,-87.676147,342
610254,DVORAK,41.858883,-87.715744,276
400167,HORIZON - SOUTHWEST,41.795201,-87.683963,764
609975,HAY,41.899171,-87.755813,254
609870,CORKERY,41.845602,-87.731193,406
610194,SUMNER,41.870828,-87.733524,200
609833,DAISY BATES,41.739226,-87.580729,212
400131,YCCS - CAMPOS,41.90285,-87.696006,128
609692,SIMEON HS,41.745781,-87.63541,1077
610022,KILMER,42.00364,-87.668222,779
400082,ACERO - FUENTES,41.937476,-87.699594,397
610036,LEWIS,41.906826,-87.75455,406
400025,CICS - BUCKTOWN,41.922415,-87.681358,544
400117,NOBLE - HANSBERRY HS,41.734442,-87.650987,514
609803,BLAINE,41.950781,-87.664968,627
610002,HOYNE,41.733338,-87.568228,247
610077,MORRILL,41.784313,-87.688549,496
400161,CHICAGO COLLEGIATE,41.679318,-87.617968,242
610081,SHERIDAN,41.8444,-87.64134,530
610230,WILDWOOD,42.007491,-87.778345,496
609722,MANLEY HS,41.870939,-87.699896,79
610060,CHICAGO WORLD LANGUAGE ACADEMY,41.8743,-87.660985,453
610201,THORP O,41.948571,-87.777631,824
400094,EPIC HS,41.744849,-87.550222,266
609760,CARVER MILITARY HS,41.65629,-87.59062,411
610515,DISNEY II ES,41.950461,-87.730678,431
400033,CICS - LONGWOOD,41.721221,-87.655768,1216
609973,ZAPATA,41.841394,-87.734313,521
609682,RICHARDS HS,41.802881,-87.662278,277
610124,WASHINGTON H ES,41.728534,-87.596257,235
610339,STAGG,41.758925,-87.649217,391
610010,JAHN,41.939247,-87.67581,315
610196,SWIFT,41.989139,-87.658296,595
610380,WILLIAMS HS,41.806118,-87.62503,79
609844,CARTER,41.789828,-87.622453,278
400034,CICS - NORTHTOWN HS,41.990245,-87.726504,837
610504,THOMAS,41.827775,-87.677542,130
610279,TANNER,41.760673,-87.606791,249
609912,FARNSWORTH,41.97979,-87.766072,505
400115,CATALYST - MARIA,41.770992,-87.693075,544
610524,ALCOTT HS,41.935795,-87.680562,371
609863,COLUMBUS,41.899566,-87.681938,273
609943,OWENS,41.670618,-87.622546,332
609748,YORK HS,41.842533,-87.695261,166
610299,KING ES,41.765335,-87.641335,229
609874,DIRKSEN,41.973715,-87.841041,1196
609810,BRIDGE,41.949114,-87.798669,1102
610329,OROZCO,41.857755,-87.67521,268
609780,MARINE LEADERSHIP AT AMES HS,41.916045,-87.721742,631
610589,SOR JUANA,41.789597,-87.72638,489
610054,MARSH,41.716588,-87.552483,611
609978,SMITH,41.707558,-87.60466,361
609746,KENWOOD HS,41.803772,-87.590421,2285
400149,ACERO - SOTO HS,41.801762,-87.711025,564
610565,EXCEL ENGLEWOOD HS,41.763896,-87.649124,205
400017,ASPIRA - HAUGAN,41.966406,-87.721825,83
610340,CHICAGO ACADEMY HS,41.943054,-87.776847,556
609941,RANDOLPH,41.760614,-87.675966,294
400105,URBAN PREP - BRONZEVILLE HS,41.831118,-87.613629,170
609917,FERNWOOD,41.711184,-87.640414,257
609812,BROWN W,41.882997,-87.670682,272
609808,HALEY,41.68666,-87.633632,449
610092,NASH,41.89181,-87.747936,264
610074,MONROE,41.929989,-87.719224,631
610334,RABY HS,41.88621,-87.715423,150
609928,FULLER,41.818003,-87.611784,293
400104,INSTITUTO - HEALTH,41.845967,-87.68724,545
610003,CUFFE,41.742452,-87.653633,239
609774,ALCOTT ES,41.92985,-87.646413,572
610065,TILL,41.775424,-87.609357,325
610250,SALAZAR,41.901417,-87.633632,365
400107,LEARN - SOUTH CHICAGO,41.733333,-87.54558,408
610234,YATES,41.915039,-87.70028,315
610533,PRIETO,41.921318,-87.765781,750
610195,SUTHERLAND,41.711445,-87.676821,631
610094,NETTELHORST,41.941637,-87.644561,647
609900,CURTIS,41.685418,-87.621653,316
400030,CICS - WEST BELDEN,41.921687,-87.776749,519
609851,CHALMERS,41.866435,-87.695259,226
400054,NOBLE - PRITZKER HS,41.915214,-87.730127,992
609809,BRENTANO,41.930966,-87.696294,732
610544,AZUELA,41.771079,-87.73992,697
610252,DETT,41.87987,-87.680315,285
609728,ROOSEVELT HS,41.964828,-87.714819,1074
610242,BRENNEMANN,41.959984,-87.649749,469
610368,HUGHES L,41.705342,-87.629869,426
400077,U OF C - WOODLAWN HS,41.77813,-87.598114,599
610016,KELLOGG,41.725263,-87.677233,289
609789,BARRY,41.932511,-87.739388,476
